amazon.com,205.251.242.54
wordpress.com,192.0.78.9
tudou.com,123.126.98.149
yahoo.co.jp,182.22.59.229
sohu.com,123.125.116.19
apple.com,17.172.224.47
hao123.com,180.149.132.19
windows.com,134.170.188.221
ebay.com,66.211.160.87
pps.tv,58.83.190.154
xunlei.com,163.177.79.253
56.com,59.32.213.232
fc2.com,54.149.155.124
paypal.com,66.211.169.66
sogou.com,106.120.151.62
tmall.com,110.75.115.70
ku6.com,122.11.45.242
rakuten.co.jp,133.237.48.124
about.com,207.241.148.80
orkut.com.br,173.194.193.86
